ANYO_PROCESO;CODIGO_CARRERA;NOMBRE_CARRERA;NOMBRE_UNIVERSIDAD;AREA_CONOCIMIENTO_SIES;VACANTES_REG;NUM_SELEC_REG;COMPLETA_VACANTES_REG;PROM_OBLIGATORIAS_ULTIMO_SELEC;PROM_OBLIGATORIAS_SD;PROM_OBLIGATORIAS_MIN;PROM_OBLIGATORIAS_P10;PROM_OBLIGATORIAS_P25;PROM_OBLIGATORIAS_PROM;PROM_OBLIGATORIAS_MED;PROM_OBLIGATORIAS_P75;PROM_OBLIGATORIAS_P90;PROM_OBLIGATORIAS_MAX
2024;11082;KINESIOLOGÍA;UNIVERSIDAD DE CHILE;SALUD;42;50;1;711.5;50.39;711.5;747.35;782.88;815.1;813.5;846.75;882.05;921
2024;11083;MEDICINA;UNIVERSIDAD DE CHILE;SALUD;190;202;1;931.5;25.07;844.5;902.65;918.62;935.18;937.5;955;964.4;993.5
2024;11084;NUTRICIÓN Y DIETÉTICA;UNIVERSIDAD DE CHILE;SALUD;46;58;1;729.5;50.13;621;687;707.88;739.4;733;778.62;804.1;885.5
2024;11085;OBSTETRICIA Y PUERICULTURA;UNIVERSIDAD DE CHILE;SALUD;76;81;1;812;36.69;757.5;790.5;809.5;836.37;838;861;883;917.5
2024;11086;TECNOLOGÍA MÉDICA;UNIVERSIDAD DE CHILE;SALUD;86;102;1;802;40.47;750.5;792.55;813.25;845.88;848.5;876.62;895.15;956
2024;11087;TERAPIA OCUPACIONAL;UNIVERSIDAD DE CHILE;SALUD;55;67;1;603;74.03;602;633.7;655;715.16;708.5;780.75;801.8;957.5
2024;11090;CINE Y TELEVISIÓN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;64;74;1;697.5;58.48;683;710.65;736.88;787.39;792.75;828.88;859.6;927
2024;11095;ODONTOLOGÍA;UNIVERSIDAD DE CHILE;SALUD;98;107;1;850;42.63;748.5;788;807.25;840.68;838.5;876.25;895;934.5
2024;11097;LICENCIADO/A EN ARTES CON MENCIÓN EN COMPOSICIÓN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;10;4;0;601;145.64;545;561.8;587;697.38;706.5;816.88;825.65;831.5
2024;11508;DANZA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;25;25;1;715;81.67;534.5;567.1;640;688.26;697.5;749;781;810.5
2024;11520;TRABAJO SOCIAL;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;48;58;1;608;77.15;591.5;635.45;664;719.24;711;761.88;830.15;903.5
2024;11521;PEDAGOGÍA EN EDUCACIÓN MEDIA EN BIOLOGÍA Y QUÍMICA;UNIVERSIDAD DE CHILE;EDUCACIÓN;40;31;0;548;122.68;485.5;504.5;592;685.1;681;787.75;828;943
2024;11522;PEDAGOGÍA EN EDUCACIÓN PARVULARIA;UNIVERSIDAD DE CHILE;EDUCACIÓN;45;55;1;617.5;73.93;443;539.5;569.5;628.97;628.5;680.25;718.8;785.5
2024;11523;PEDAGOGÍA EN EDUCACIÓN BÁSICA;UNIVERSIDAD DE CHILE;EDUCACIÓN;30;40;1;685;69.14;613.5;655.05;671.38;729.2;724.75;776.12;803.35;902
2024;11524;INGENIERÍA EN SONIDO;UNIVERSIDAD DE CHILE;TECNOLOGÍA;24;27;1;881;42.43;790.5;795.1;819.75;852.61;848;881;898.2;955.5
2024;11525;ESTUDIOS INTERNACIONALES;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;35;42;1;790.5;54.18;759.5;793.7;809.62;856.42;849.25;893.75;932.5;969
2024;11526;CIENCIA POLÍTICA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;35;40;1;711;60.03;647;697.5;728;771.02;771;812;840.25;894.5
2024;11527;INGENIERÍA EN RECURSOS HÍDRICOS;UNIVERSIDAD DE CHILE;TECNOLOGÍA;30;32;1;485.5;87.27;485.5;535.1;566.88;631.03;625.25;690;757.7;826
2024;12004;ARQUITECTURA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;136;145;1;847;41.26;778.5;819;842.5;873;870.5;902;930.1;968.5
2024;12005;ARTE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;87;97;1;650.5;86.86;585.5;641.3;698;748.42;737.5;802.5;880.7;936
2024;12006;DISEÑO;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;178;198;1;666.5;66.04;662.5;720.2;755.5;801.21;793.25;846.38;892.35;980
2024;12007;ACTUACIÓN;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;45;46;1;602;85.44;602;640;695.75;754.1;756;818.25;857;939
2024;12008;LETRAS HISPÁNICAS;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;HUMANIDADES;60;63;1;615.5;91.39;590.5;630.4;691.5;744.69;728.5;811.75;872.2;959
2024;12009;LETRAS INGLESAS;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;HUMANIDADES;38;43;1;767;80.88;573.5;664.2;698.75;745.37;746.5;784;845;934.5
2024;12010;BIOQUÍMICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;40;45;1;835.5;30.33;833;855.4;872;891.27;887;910;935.8;966.5
2024;12011;BIOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;60;79;1;734;58.12;726.5;749.3;768.25;820.45;817;861;897.3;965.5
2024;12012;BIOLOGÍA MARINA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;30;49;1;782.5;64.23;654;731.1;758;799.54;794;841;876.2;932
2024;12013;AGRONOMÍA E INGENIERÍA FORESTAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;AGROPECUARIA;210;241;1;567.5;86.41;540;631.5;676.5;736.05;724.5;798;855.5;955.5
2024;12014;INGENIERÍA COMERCIAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ADMINISTRACIÓN Y COMERCIO;418;443;1;904.5;32.57;804;852.9;877;898.11;898;920.25;939;982.5
2024;12015;TEOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;HUMANIDADES;10;12;1;503;95.55;503;553.35;646.5;674.08;684.5;711;725.7;886.5
2024;12017;PSICOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;120;130;1;908.5;43.87;767;833.85;856;885.72;887.25;917.5;933.55;993.5
2024;12018;TRABAJO SOCIAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;70;82;1;596;75.83;535.5;574.15;612.75;670.57;672.75;721.25;770.15;859
2024;12019;SOCIOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;75;83;1;631;96.32;491;609.6;664.5;731.44;729;807.5;863.1;918.5
2024;12021;DERECHO;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;DERECHO;325;337;1;802;51.06;719.5;801.8;838;870.69;875;906;931.7;987.5
2024;12022;ANTROPOLOGÍA- ARQUEOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;70;84;1;659;82.33;612.5;662.8;690.5;757.77;739.75;800.88;877.7;977
2024;12024;PEDAGOGIA EN EDUCACIÓN GENERAL BÁSICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;150;171;1;520.5;84.97;487;592;634;690.65;691;739.25;810;928.5
2024;12025;PEDAGOGÍA EN EDUCACIÓN PARVULARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;80;99;1;682;72.75;529;595.4;648.5;691.4;694;734.75;779.7;853.5
2024;12026;COLLEGE ARTES Y HUMANIDADES;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;60;68;1;708;72.45;654;698.95;726;787.88;787.25;835.12;886.7;955.5
2024;12027;COLLEGE CIENCIAS NATURALES Y MATEMÁTICAS;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;400;460;1;759;43.79;738;799.5;831.5;860.55;864;889;918.5;969.5
2024;12028;COLLEGE CIENCIAS SOCIALES;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;350;407;1;642;68.7;628;688.8;726.5;777.88;780;823;867;961
2024;12029;LICENCIATURA EN INTERPRETACIÓN MUSICAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;15;24;1;643.5;119.76;522;606.25;654.75;757.58;757.5;852;913.75;948
2024;12030;FILOSOFÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;HUMANIDADES;25;41;1;708.5;92.45;572.5;617.5;647.5;728.62;708;803.5;853;941.5
2024;12031;FÍSICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;31;33;1;868.5;43.23;816;846.1;868.5;901.06;909.5;937;949.2;968.5
2024;12032;ASTRONOMÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;28;29;1;968.5;28.61;835;880.6;886.5;908.12;908.5;927;945.2;968.5
2024;12033;MEDICINA VETERINARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;AGROPECUARIA;130;153;1;824.5;51.91;717.5;755.1;780.5;823.65;824.5;864;887.8;993.5
2024;12034;GEOGRAFÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;50;66;1;782.5;83.86;575.5;614.5;648;722.09;710.25;789;839.25;894.5
2024;12035;HISTORIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;60;77;1;641.5;83.63;542.5;617.3;660;724.66;728;787.5;834.6;885.5
2024;12037;CIENCIA POLÍTICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;35;37;1;849;52.97;728.5;782.8;838;859.39;865;896.5;912.6;961
2024;12038;CONSTRUCCIÓN CIVIL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;TECNOLOGÍA;205;249;1;579;75.76;506;622.9;661.5;714.2;712;761.5;815.5;934.5
2024;12039;INGENIERÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;TECNOLOGÍA;650;670;1;881;28.23;839.5;885;900;919.71;918.75;939;957.2;994.5
2024;12041;PEDAGOGÍA EN EDUCACIÓN MEDIA EN CIENCIAS NATURALES Y BIOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;25;37;1;703;91.25;584.5;626.2;668.5;735.82;725;808;864.1;917.5
2024;12042;PEDAGOGÍA EN EDUCACIÓN MEDIA EN QUÍMICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;20;26;1;502.5;100.29;502;519.75;604.25;652.63;638.75;702.88;792;875.5
2024;12043;PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;40;42;1;755.5;51.92;710;771.3;798.38;832.38;834;858;895.85;939
2024;12044;PEDAGOGÍA EN EDUCACIÓN MEDIA EN FÍSICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;10;13;1;748;86.9;648.5;710.1;741;794.08;786;867;915;937
2024;12046;PERIODISMO - DIRECCIÓN AUDIOVISUAL - PUBLICIDAD;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;125;135;1;764.5;67.06;664;734.5;763.25;812.17;799;854.25;911.9;973.5
2024;12049;ESTADÍSTICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;40;45;1;729.5;58.21;695;726.8;770;808.97;818;855.5;877.9;937
2024;12050;PEDAGOGÍA EN EDUCACIÓN FÍSICA Y SALUD PARA EDUCACIÓN BÁSICA Y MEDIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;60;69;1;638.5;80.48;556;606.7;653;706.74;692;775.5;813.1;896
2024;12051;MATEMÁTICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;40;48;1;859.5;52.17;717.5;796.85;818.62;852.9;855.75;886.25;918.65;944.5
2024;12052;TERAPIA OCUPACIONAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;73;94;1;682;71.58;614;674.5;703.62;761.9;757.5;813.88;856.05;916.5
2024;12054;QUÍMICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;35;42;1;763.5;51.8;717;741.4;770;809.13;806.25;855.5;868.45;944
2024;12055;QUÍMICA Y FARMACIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;70;78;1;858;31.89;803;848.25;868.12;888.45;886.25;907;932.5;968
2024;12056;ODONTOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;60;86;1;856.5;31.77;791;827;840.5;864.38;862.5;887.38;905.25;961
2024;12057;ENFERMERÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;120;146;1;858.5;42.63;723.5;791.75;818;843.93;846.75;871.38;897.25;940.5
2024;12058;MEDICINA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;82;82;1;913;17.07;913;935.55;949.5;959.72;961;972;980;993.5
2024;12059;LICENCIATURA EN MÚSICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;ARTE Y ARQUITECTURA;25;12;0;657.5;104.66;603.5;633.15;656.25;734.83;718.25;769.62;899.75;937
2024;12060;NUTRICIÓN Y DIETÉTICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;58;80;1;698;61.95;602;703.65;730.88;778.18;771.75;815.25;863.4;931
2024;12061;KINESIOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;75;99;1;745;50.26;664.5;762.4;799;826.4;832.5;864.25;886.1;908.5
2024;12062;FONOAUDIOLOGÍA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;SALUD;58;72;1;653;77.42;562;610.45;638.12;691.37;670.5;726.88;793.7;891
2024;12070;PEDAGOGÍA EN INGLÉS PARA EDUCACIÓN BÁSICA Y MEDIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;50;55;1;734.5;70.73;624;694.1;734.5;784.16;771.5;844.5;878.9;924.5
2024;12071;ADMINISTRACIÓN PÚBLICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS SOCIALES;70;87;1;697.5;67.24;635;670.4;703.5;748.38;736;789.5;842.2;961
2024;12088;PEDAGOGÍA EN EDUCACIÓN ESPECIAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;40;43;1;708;85.1;543;605.2;662.25;717.92;708;776;819.9;908.5
2024;12089;LICENCIATURA EN INGENIERÍA EN CIENCIA DE DATOS;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;CIENCIAS BÁSICAS;80;102;1;694;56.02;694;736.1;776.75;813.87;820;850.25;877.75;937
2024;12096;PEDAGOGIA EN EDUCACIÓN GENERAL BÁSICA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;35;56;1;520.5;84.38;494.5;505;536.38;600.12;584.25;656.75;710.25;875.5
2024;12097;PEDAGOGÍA EN EDUCACIÓN PARVULARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;EDUCACIÓN;35;36;1;514.5;48.62;473;511;516.75;553.24;547.5;570.38;608.25;726
2024;12100;LICENCIATURA EN INGENIERÍA EN CIENCIA DE LA COMPUTACIÓN;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;TECNOLOGÍA;80;89;1;861.5;46.12;757.5;801.9;835.5;868.23;870.5;898;934.1;967
2024;12101;INGENIERÍA EN RECURSOS NATURALES;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;TECNOLOGÍA;80;91;1;636;85.05;587.5;669;709.25;775.46;767.5;847.75;896.5;931
2024;13001;LICENCIATURA EN QUIMICA - QUIMICO;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;25;30;1;657;94.03;514.5;598.05;659.12;720.35;726.5;792.62;824.85;889
2024;13002;LICENCIATURA EN MATEMATICA;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;20;24;1;691.5;91.08;549.5;578.4;614.5;690.33;693.25;769.38;815.75;840.5
2024;13003;INGENIERIA CIVIL MATEMATICA;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;35;40;1;733;68.55;649.5;730.4;775.38;815.1;809.5;869.5;904.8;954
2024;13004;QUIMICO ANALISTA;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;35;50;1;718.5;74.82;533.5;586.4;616.75;673.8;663.75;727.12;773.1;849
2024;13006;AGRONOMIA (CHILLAN);UNIVERSIDAD DE CONCEPCION;AGROPECUARIA;70;92;1;532.5;83.05;486.5;510;544.38;607.91;591.5;664;735.8;857.5
2024;13007;MEDICINA VETERINARIA (CHILLAN);UNIVERSIDAD DE CONCEPCION;AGROPECUARIA;85;105;1;581.5;66.74;541;621.7;664;706.63;699.5;749;791.7;873.5
2024;13008;INGENIERIA FORESTAL;UNIVERSIDAD DE CONCEPCION;AGROPECUARIA;30;33;1;505.5;83.69;478.5;524.7;542.5;611.7;606.5;667.5;688.9;869
2024;13009;INGENIERIA CIVIL AGRICOLA (CHILLAN);UNIVERSIDAD DE CONCEPCION;TECNOLOGÍA;35;38;1;541;91.44;492;509.65;562.12;628.58;624;682.62;745.5;837
2024;13011;MEDICINA VETERINARIA (CONCEPCION);UNIVERSIDAD DE CONCEPCION;AGROPECUARIA;80;98;1;718.5;61.61;621;696.5;719.5;770.32;767.25;814.5;851.1;918.5
2024;13012;BIOINGENIERIA;UNIVERSIDAD DE CONCEPCION;TECNOLOGÍA;45;56;1;688;67.83;612;681.25;735.25;772.15;764.5;814.25;863.75;944.5
2024;13013;BIOLOGIA MARINA;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;30;45;1;646.5;86.54;578;643.3;668.5;739.86;728;799.5;862.6;929.5
2024;13014;BIOLOGIA;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;60;78;1;716.5;74.74;558.5;632.95;672.38;725.35;715.75;773;838.65;890.5
2024;13015;GEOLOGIA;UNIVERSIDAD DE CONCEPCION;CIENCIAS BÁSICAS;35;45;1;807.5;41.71;774.5;791.6;816;842.94;833.5;871.5;908.3;939
2024;13016;INGENIERIA EN BIOTECNOLOGIA MARINA Y ACUICULTURA;UNIVERSIDAD DE CONCEPCION;TECNOLOGÍA;20;28;1;577.5;69.08;514;544.5;561.38;622;609.25;672.25;708.3;764
