"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_5005950170588";25;25042;1;1;632,8;1
"id_5067950176757";26;26052;1;0;0;2
"id_5049950074907";56;56223;1;0;0;2
"id_5678956577803";13;13024;1;1;861,05;1
"id_5679956577927";56;56621;1;0;0;2
"id_5629956572994";36;36080;1;2;792,15;1
"id_5617956471702";55;55065;1;2;668,4;1
"id_5628956072847";23;23018;1;2;560,4;1
"id_7840978874017";22;22077;1;1;767,95;1
"id_7861978976141";50;50528;1;1;583;1
"id_7825978772575";11;11523;1;1;713,05;1
"id_7893978479350";19;19005;1;1;604,5;1
"id_7835978473524";56;56318;1;1;744,1;1
"id_7906979570670";29;29076;1;4;647,7;1
"id_7583975778327";26;26007;1;1;625,2;1
"id_7597975779784";26;26055;1;1;598,3;1
"id_7597975779727";26;26093;1;6;623,7;1
"id_7535975473598";21;21048;1;7;567,1;1
"id_7574975077408";21;21089;1;3;604,95;1
"id_7167971576711";19;19022;1;1;614,4;1
"id_7155971475558";45;45031;1;5;502,15;1
"id_7197971279766";45;45029;1;1;813,05;1
"id_7162971376283";38;38166;1;1;609,4;1
"id_7148971074848";56;56210;1;2;734,7;1
"id_7444974974428";44;44010;1;8;723,95;1
"id_7440974974050";55;55064;1;1;638,7;1
"id_7428974772839";24;24046;1;6;578,15;1
"id_7493974279316";47;47101;1;1;878,5;1
"id_7471974377191";35;35018;1;1;645,3;1
"id_7284972878411";49;49211;1;2;734,6;1
"id_7244972874482";41;41000;1;4;525,2;1
"id_7257972975719";55;55058;1;1;681,3;1
"id_7272972577256";18;18202;1;1;612,7;1
"id_7294972479418";55;55062;1;5;646,3;1
"id_7217972271717";14;14103;1;2;491,05;1
"id_7217972271760";46;46305;1;4;761,4;1
"id_7201972270127";11;11034;1;2;720,4;1
"id_7211972071181";17;17835;1;1;724,3;1
"id_7387973878780";11;11083;1;2;901,2;1
"id_7399973379956";21;21080;1;1;550,05;1
"id_7066970376683";41;41097;1;2;740,4;1
"id_7092970079256";23;23052;1;1;744,1;1
"id_7052970075287";11;11040;1;1;786,5;1
"id_7053970075369";45;45008;1;2;589,7;1
"id_7070970677028";52;52115;1;0;0;10
"id_7626976972676";56;56416;1;1;698,1;1
"id_7688976478834";17;17084;1;1;695;1
"id_7695976679593";14;14088;1;1;507,8;1
"id_1885918778505";13;13059;1;1;806,3;1
"id_1826918772675";55;55023;1;1;630,2;1
"id_1817918171741";54;54303;1;0;0;2
"id_1999919979989";25;25031;1;1;513,6;1
"id_1911919771174";50;50810;1;9;628;1
"id_1980919178017";46;46500;1;0;0;2
"id_1995919479505";11;11521;1;3;627,8;1
"id_1940919474038";50;50811;1;1;778,45;1
"id_1906919270609";41;41011;1;1;856,45;1
"id_1977919677729";22;22026;1;1;739,7;1
"id_1516915871605";47;47303;1;1;651,7;1
"id_1575915977513";41;41125;1;10;535,7;1
"id_1790917579021";46;46301;1;1;691,2;1
"id_1727917772758";16;16108;1;2;815;1
"id_1782917278241";23;23018;1;1;604,9;1
"id_1776917077670";55;55122;1;1;628,7;1
"id_1118911871857";29;29010;1;2;485,2;1
"id_1178911177897";29;29010;1;0;0;2
"id_1138911173878";56;56226;1;1;669,8;1
"id_1151911475164";37;37022;1;1;553,6;8
"id_1166911076676";56;56524;1;1;712,55;1
"id_1152911675241";12;12015;1;1;613,8;1
"id_1456914475615";14;14007;1;1;702,4;1
"id_1204912970433";19;19030;1;1;757,3;1
"id_1244912174441";15;15381;1;5;623,2;1
"id_1361913876149";11;11001;1;3;774,7;1
"id_1346913574650";11;11521;1;1;601,6;1
"id_1356913175602";51;51170;4;1;519,5;11
"id_1326913372669";11;11083;1;2;901,8;1
"id_1364913376498";19;19020;1;1;718,4;1
"id_1378913077893";53;53309;1;4;616,9;1
"id_1602916170260";11;11022;1;2;755,95;1
"id_4834948973400";18;18040;1;1;708,75;1
"id_4855948375500";26;26054;1;0;0;2
"id_4824948372421";26;26047;1;1;657,9;1
"id_4984949878449";55;55044;1;3;683,5;1
"id_4997949979723";32;32130;1;2;556,85;1
"id_4927949972728";11;11032;1;2;700,35;1
"id_4927949972707";50;50101;1;3;687,05;1
"id_4922949972210";47;47003;1;1;669,3;1
"id_4959949575950";25;25021;1;1;623,15;1
"id_4970949277070";44;44015;1;1;831,55;1
"id_4970949277040";50;50923;1;1;619,2;1
"id_4918949271886";42;42101;1;1;750,8;1
"id_4918949271813";16;16056;1;1;875,1;1
"id_4921949272104";25;25050;1;1;643,4;1
"id_4924949272432";42;42002;1;2;796,3;1
"id_4922949272276";25;25043;1;1;720,8;1
"id_4922949272201";13;13091;1;18;839,65;1
"id_4922949272265";18;18095;1;2;876,35;1
"id_4923949272317";44;44007;1;1;684,7;1
"id_4923949272300";25;25044;1;1;701,25;1
"id_4941949074147";13;13035;1;2;599,15;1
"id_4941949074167";13;13105;1;1;571,7;1
"id_4942949074210";55;55063;1;7;639,1;1
"id_4586945878675";55;55024;1;3;632,1;1
"id_4599945879911";19;19045;1;1;807,4;1
"id_4584945278487";37;37046;1;1;585,9;1
"id_4563945076315";29;29019;1;1;576,4;1
"id_4563945076349";13;13077;1;1;578;1
"id_4563945076323";13;13087;1;4;782,75;1
"id_4560945076081";13;13032;1;1;565,5;1
"id_4591945679168";55;55019;1;1;626,6;1
"id_4559945675986";55;55069;1;2;617,2;1
"id_4540945674003";17;17811;1;1;531,65;1
"id_4718947871800";47;47401;1;2;610,5;1
"id_4728947872874";19;19083;1;1;564,4;1
"id_4729947872933";49;49206;1;1;684,85;1
"id_4725947872584";34;34006;1;1;680,3;1
"id_4727947872752";11;11040;1;1;827;1
"id_4724947872431";47;47002;1;1;716,1;1
"id_4768947576892";53;53401;1;6;586,3;1
"id_4775947777574";42;42002;1;1;777,85;1
"id_4764947776422";45;45018;1;2;567,3;2
"id_4755947175553";16;16036;1;1;824,5;1
"id_4719947171931";40;40051;1;4;523,1;8
"id_4731947173124";55;55092;1;2;763,8;1
"id_4758947475872";40;40030;1;2;666,7;1
"id_4714947071400";41;41024;1;1;677,9;1
"id_4136941573645";49;49306;1;1;702,95;1
"id_4181941778151";45;45037;1;1;618;1
"id_4167941476750";55;55115;1;2;596,8;1
"id_4117941271763";45;45031;1;1;562,9;1
"id_4183941378332";56;56508;1;0;0;2
"id_4139941373961";16;16107;1;7;642,75;1
"id_4116941071679";11;11068;1;1;775,5;1
"id_4443944974331";49;49017;1;3;656;1
"id_4422944572273";45;45011;1;0;0;2
"id_4489944778913";13;13060;1;2;813,1;1
"id_4438944173829";35;35056;1;1;664,15;1
"id_4434944373495";49;49308;1;1;678,15;1
"id_4202942870206";39;39120;1;1;620,5;1
"id_4272942777207";11;11072;1;1;742,1;1
"id_4270942777089";45;45021;1;3;530,8;1
"id_4275942477581";32;32164;1;1;539,7;1
"id_4265942476520";13;13069;1;1;718,8;1
"id_4207942270798";12;12035;1;2;739;1
"id_4212942071210";23;23016;1;1;611,4;1
"id_4240942074084";23;23048;1;1;856,95;1
"id_4212942671287";22;22028;1;2;561,55;1
"id_4314943871402";30;30024;1;1;854,95;1
"id_4368943876847";45;45031;1;2;628,55;1
"id_4347943974771";38;38174;1;5;725,7;1
"id_4342943974262";16;16045;1;18;764,5;1
"id_4314943771423";12;12097;1;1;557,4;1
"id_4311943071124";11;11028;1;1;652,8;1
"id_4376943677693";15;15340;1;1;785,65;1
"id_4083940878358";46;46301;1;3;503,2;1
"id_4039940973909";55;55024;1;3;635,3;1
"id_4093940579398";11;11037;1;7;789,7;1
"id_4049940474997";30;30095;1;20;783,5;1
"id_4017940271755";12;12097;1;1;438,8;1
"id_4081940378178";18;18067;1;1;553,65;1
"id_4023940072332";55;55058;1;2;655,6;1
"id_4087940678706";26;26084;1;3;717,2;1
"id_4095940679535";56;56418;1;5;662;1
"id_4039940673992";50;50132;1;2;599;1
"id_4613946471392";41;41103;1;13;518,7;1
"id_4697946379712";49;49106;1;1;534,4;1
"id_4625946072582";56;56220;1;2;536,8;1
"id_4635946673589";17;17837;1;1;558,8;1
"id_2892928979200";29;29037;1;1;871,75;1
"id_2860928976079";11;11060;1;1;822;1
"id_2884928578442";15;15111;1;1;783,55;1
"id_2875928577535";55;55049;1;2;631,2;1
"id_2850928775042";25;25017;1;17;591,5;1
"id_2898928179878";56;56424;1;1;812,8;1
"id_2890928179066";39;39133;1;2;534,75;1
"id_2876928177633";39;39107;1;2;706,5;1
"id_2991929979126";13;13002;1;1;747,7;1
"id_2945929974514";12;12096;1;1;504,8;1
"id_2917929571769";39;39124;1;3;471,5;1
"id_2909929570956";26;26080;1;1;741,8;1
"id_2988929178878";29;29015;1;2;578,1;1
"id_2932929173238";49;49114;1;1;658,2;1
"id_2961929276155";45;45005;1;1;760,2;1
"id_2964929276401";50;50929;1;1;768,25;1
"id_2966929276642";45;45017;1;3;538,9;1
"id_2997929079791";53;53305;1;9;735,4;1
"id_2577925877788";45;45036;1;1;810,7;1
"id_2518925871867";17;17831;1;3;539,15;1
"id_2500925870083";39;39101;1;7;492,3;1
"id_2571925777147";14;14095;1;2;593,55;1
"id_2537925173733";56;56324;1;1;684,75;1
"id_2563925476351";18;18040;1;1;699,75;1
"id_2581925378182";49;49217;1;3;556,6;1
"id_2590925379012";41;41165;1;2;706,9;1
"id_2531925373187";56;56106;1;2;585,2;1
"id_2533925373329";58;58202;1;1;541,05;1
"id_2504925370448";53;53201;1;1;541,65;1
"id_2597925079705";46;46104;1;1;663,85;1
"id_2570925077037";13;13026;1;1;589;1
"id_2541925074115";30;30066;1;1;692,4;1
"id_2592925679224";20;20024;1;1;847,7;1
"id_2590925679042";41;41206;1;1;546;1
"id_2784927878419";14;14033;1;3;643,9;3
"id_2770927877024";38;38009;1;5;679,7;1
"id_2733927873391";18;18093;1;1;770,8;1
"id_2790927979087";32;32164;1;1;585,6;1
"id_2777927977730";50;50112;1;5;550,1;1
"id_2700927570089";29;29010;1;1;551;1
"id_2788927778862";56;56621;1;3;578,8;1
"id_2786927778694";56;56521;1;2;509,1;1
"id_2754927775436";26;26005;1;1;601,2;1
"id_2779927777912";38;38005;1;4;827,4;1
"id_2766927776607";45;45017;1;2;651,2;1
"id_2795927179527";56;56108;1;5;575,5;1
"id_2756927475616";55;55094;1;1;611,75;1
"id_2779927477933";17;17837;1;1;570,3;1
"id_2748927274830";47;47003;1;1;714,5;1
"id_2703927370335";38;38327;1;1;614,8;1
"id_2779927077959";13;13077;1;1;574,25;1
"id_2784927678490";19;19088;1;1;587,6;1
"id_2776927677655";39;39131;1;1;611,4;1
"id_2703927670332";56;56618;1;2;629,75;1
"id_2148921874864";56;56213;1;1;557,05;1
"id_2181921978170";56;56416;1;14;569,3;1
"id_2154921975480";47;47401;1;1;642,3;1
"id_2117921971780";20;20007;1;1;586,5;1
"id_2153921575351";16;16056;1;2;648,9;1
"id_2196921179633";55;55007;1;1;606;1
"id_2118921171893";22;22023;1;3;588,4;1
"id_2118921171832";18;18072;1;1;703,15;1
"id_2117921171702";49;49304;1;2;586,4;1
"id_2105921370524";45;45009;1;2;713,1;1
"id_2194921079494";13;13105;1;1;693,65;1
"id_2119921671916";47;47431;1;2;707,5;1
"id_2101921670183";56;56210;1;4;611,7;1
"id_2167921676733";19;19026;1;1;481,95;1
"id_2492924979230";55;55122;1;1;784,8;1
"id_2432924973222";49;49109;1;1;698,1;1
"id_2460924576062";49;49302;1;1;659,6;1
"id_2452924175224";53;53301;1;1;700,85;1
"id_2486924078652";14;14103;1;1;592,35;1
"id_2240922874040";41;41097;1;1;733,8;1
"id_2207922870750";11;11069;1;1;884,8;1
"id_2213922971399";55;55041;1;1;772,35;1
"id_2226922972670";58;58138;1;0;0;8
"id_2250922575074";20;20050;1;0;0;9
"id_2206922770629";32;32163;1;2;588,9;1
"id_2209922170949";37;37004;1;17;589,4;1
"id_2202922170234";56;56424;1;2;654,25;1
"id_2263922176363";44;44026;1;1;619,9;1
"id_2234922273482";23;23070;1;1;705,25;1
"id_2266922276616";20;20050;1;2;558,75;1
"id_2223922372340";55;55044;1;1;634,25;1
"id_2289922078948";52;52504;1;4;547;1
"id_2297922079789";19;19090;1;1;835;1
"id_2243922074308";17;17037;1;1;582,25;1
"id_2222922672288";53;53301;1;1;684,4;1
"id_2345923974523";50;50833;1;1;918,75;1
"id_2323923972309";15;15102;1;1;695,65;1
"id_2338923973840";49;49104;1;1;553,2;1
"id_2365923976510";12;12041;1;1;916,3;1
"id_2369923576915";35;35061;1;1;726;1
"id_2344923774480";29;29076;1;1;633,65;1
"id_2305923770552";50;50112;1;1;555,15;1
"id_2305923770535";13;13060;1;1;743,25;1
"id_2383923478343";23;23054;1;1;679,2;1
"id_2378923477806";26;26060;1;0;0;8
"id_2347923474726";14;14008;1;1;637,5;1
"id_2358923275895";13;13102;1;20;739,1;1
"id_2335923273597";13;13060;1;1;639,25;1
"id_2389923378950";22;22107;1;1;653,2;1
"id_2389923378910";50;50804;1;3;618,45;1
"id_2384923378485";22;22023;1;1;645,3;1
"id_2396923379660";52;52495;1;2;550,2;1
"id_2359923075931";49;49218;1;1;617,9;1
"id_2357923075740";32;32027;1;1;682,8;1
"id_2071920977161";55;55050;1;2;613,2;1
"id_2080920778043";32;32027;1;1;753,75;1
"id_2055920075524";47;47491;1;1;741,8;1
"id_2018920071802";47;47001;1;1;725;1
"id_2076920677627";25;25064;1;1;796;1
"id_2044920674499";45;45038;1;1;433,15;1
"id_2030920673050";50;50921;1;3;620,55;1
"id_2690926879015";16;16017;1;1;717,15;1
"id_2690926879066";55;55021;1;1;643,45;1
"id_2618926971858";16;16053;1;0;0;9
"id_2613926971306";15;15271;1;3;828;1
"id_2605926570501";45;45014;1;2;520,65;1
"id_2647926774778";47;47462;1;1;624,2;1
"id_2647926774770";37;37018;1;1;693,3;1
"id_2628926772840";11;11072;1;1;724,6;1
"id_2639926173958";30;30069;1;10;438,7;1
"id_2608926170851";55;55006;1;1;715,1;1
"id_2664926176407";30;30086;1;2;706,8;1
"id_2692926479244";46;46403;1;1;593,7;2
"id_2629926472904";39;39107;1;1;708,5;1
"id_2660926276077";22;22069;1;1;612,3;1
"id_2640926374027";55;55022;1;2;656,85;1
"id_2697926079721";18;18070;1;1;654,95;1
"id_2697926079766";35;35066;1;4;694,7;1
"id_2663926076303";54;54305;1;1;601,4;1
"id_3894938979465";22;22061;1;0;0;8
"id_3848938974870";55;55058;1;3;653,3;1
"id_3845938574563";11;11061;1;1;770,75;1
"id_3886938778638";12;12043;1;1;814,9;1
"id_3842938774220";50;50232;1;1;661,7;1
"id_3824938772471";13;13065;1;2;692,2;1
"id_3890938179058";17;17033;1;1;714,65;1
"id_3856938175640";29;29027;1;2;733,4;1
"id_3866938176682";53;53204;1;4;630,15;1
"id_3802938470218";12;12004;1;1;889,45;1
"id_3855938375500";51;51153;1;17;526,2;1
"id_3840938374075";27;27004;1;1;753,35;1
"id_3898938679839";55;55010;1;1;621;1
"id_3832938673269";40;40063;1;1;559,1;1
"id_3900939870057";50;50940;1;1;779,9;1
"id_3973939977356";55;55058;1;1;702,1;1
"id_3943939974311";22;22026;1;3;746,1;1
"id_3912939771248";47;47201;1;1;897,8;1
"id_3922939772273";45;45002;1;1;642,05;1
"id_3984939178447";26;26071;1;1;701;1
"id_3980939178016";26;26071;1;3;535,85;1
"id_3950939275074";19;19015;1;3;525,05;1
"id_3974939277448";55;55024;1;4;612,95;1
"id_3998939379884";19;19075;1;1;683,2;1
"id_3951939375125";52;52504;1;3;527,6;1
"id_3954939075463";29;29028;1;13;424,7;1
"id_3943939074379";49;49217;1;6;571,8;1
"id_3935939073564";35;35066;1;1;743,2;1
"id_3904939070425";12;12034;1;4;779,15;1
"id_3950939675066";35;35029;1;3;640,85;1
"id_3921939672159";29;29073;1;4;446,4;1
"id_3590935879025";55;55065;1;4;786,4;1
"id_3549935874990";56;56220;1;0;0;9
"id_3534935973435";13;13111;1;1;850,75;1
"id_3518935571849";44;44026;1;1;760,4;1
"id_3518935571833";32;32059;1;1;698,1;1
"id_3545935574511";13;13018;1;2;599,8;1
"id_3599935779935";50;50804;1;3;900,3;1
"id_3590935779090";16;16038;1;1;824,85;1
"id_3590935779056";51;51184;1;1;678,1;1
"id_3577935777727";48;48006;1;1;784,8;1
"id_3508935770866";49;49211;1;1;660,7;1
"id_3595935179558";32;32163;1;1;670,4;1
"id_3511935171194";21;21045;1;0;0;2
"id_3592935479218";16;16035;1;2;727,3;1
"id_3515935471516";49;49008;1;3;742,75;1
"id_3538935473872";16;16082;1;1;683,8;1
"id_3561935476105";37;37046;1;0;0;8
"id_3590935279054";49;49311;1;2;676,9;1
"id_3581935378134";47;47401;1;1;675;1
"id_3513935371380";56;56524;1;2;657,2;1
"id_3521935372128";29;29072;1;1;646,6;1
"id_3592935079268";11;11038;1;6;603,9;1
"id_3569935076919";13;13020;1;1;608,75;1
"id_3586935678689";33;33025;1;1;697,5;1
"id_3517935671712";25;25050;1;1;599,6;1
"id_3737937873770";11;11522;1;1;696,5;1
"id_3755937975541";50;50921;1;1;720,3;1
"id_3714937971457";40;40030;1;3;605,4;1
"id_3721937972169";46;46105;1;1;542,55;1
"id_3785937578513";41;41123;1;4;554,55;1
"id_3714937571429";50;50221;1;1;678,9;1
"id_3765937776502";45;45017;1;2;646,4;1
"id_3797937179740";46;46306;1;0;0;2
"id_3768937176855";13;13077;1;6;546,4;1
"id_3785937478503";29;29021;1;1;728,6;1
"id_3796937479606";55;55039;1;1;655,6;1
"id_3773937477382";21;21053;1;6;740,1;1
"id_3783937278339";55;55115;1;2;607,3;1
"id_3783937278364";55;55082;1;1;629,3;1
"id_3714937271482";25;25053;1;2;681,9;1
"id_3741937274100";37;37092;1;3;821,3;1
"id_3704937270429";22;22025;1;1;848,3;1
"id_3765937276503";22;22077;1;1;721,2;1
"id_3758937375872";56;56201;1;2;618;1
"id_3717937371700";16;16011;1;1;640,05;1
"id_3793937079309";35;35059;1;1;693,4;1
"id_3775937077552";11;11020;1;1;675,2;1
"id_3713937071324";21;21002;1;1;711,2;1
"id_3788937678883";16;16050;1;1;736,9;1
"id_3751937675155";18;18068;1;4;547,05;1
"id_3188931878800";23;23018;1;3;659,4;1
"id_3149931874961";12;12034;1;1;813,9;1
"id_3128931872842";41;41071;1;1;856,7;1
"id_3134931873437";12;12017;1;1;925,65;1
"id_3138931973843";16;16100;1;2;809,9;1
"id_3158931775804";55;55106;1;1;549,2;1
"id_3178931177824";35;35016;1;0;0;9
"id_3161931176145";35;35083;1;1;568,8;1
"id_3170931477093";50;50133;1;3;587;1
"id_3124931372431";14;14088;1;1;545;1
"id_3131931073190";11;11016;1;1;718,3;1
"id_3101931070115";45;45018;1;1;554,3;1
"id_3105931670580";13;13071;1;7;695,65;1
"id_3419934871996";47;47006;1;3;529,8;1
"id_3441934874179";20;20011;1;1;541,8;1
"id_3484934978459";18;18094;1;2;610,35;1
"id_3411934971191";55;55054;1;3;686,6;1
"id_3403934970322";56;56208;1;1;554,4;1
"id_3457934575709";12;12021;1;1;863,7;1
"id_3453934575382";15;15474;1;1;648,35;1
"id_3418934571816";47;47491;1;1;844;1
"id_3427934572701";47;47002;1;1;600,3;1
"id_3455934175576";36;36010;1;1;779,4;1
"id_3478934177853";56;56310;1;1;658;1
"id_3470934177077";56;56410;1;5;653,7;1
"id_3414934171412";52;52070;1;2;674,3;1
"id_3427934172731";16;16006;4;6;692,85;11
"id_3409934170980";11;11026;1;2;795,85;1
"id_3406934170618";50;50133;1;3;587,5;1
"id_3444934474419";19;19028;1;2;472,4;1
"id_3420934472012";22;22073;1;1;735,05;1
"id_3483934278345";55;55117;1;2;718,6;1
"id_3450934375008";56;56608;1;3;520,85;1
"id_3478934377828";56;56618;1;4;730,55;1
"id_3435934373500";47;47461;1;9;647;1
"id_3439934073959";33;33024;1;1;759,3;1
"id_3207932870788";11;11072;1;1;626,9;1
"id_3252932975205";39;39129;1;4;782,2;1
"id_3231932973171";41;41214;1;3;732,2;1
"id_3201932970135";14;14104;1;3;706;1
"id_3280932578061";20;20050;1;2;600,7;1
"id_3212932771261";55;55044;1;1;684,7;1
"id_3210932771047";42;42025;1;2;703;1
"id_3229932172924";51;51185;1;1;680,85;1
"id_3220932172007";20;20052;1;0;0;2
"id_3290932479081";47;47401;1;1;732,6;1
"id_3255932475576";47;47301;1;1;728,8;1
"id_3232932473223";11;11086;1;1;853,6;1
"id_3298932379833";12;12017;1;1;884,25;1
"id_3264932376498";56;56220;1;1;539,7;1
"id_3298932679827";17;17029;1;1;593,15;1
"id_3250932675079";17;17838;1;1;600,5;1
"id_3276932677630";50;50521;1;2;516;1
"id_3242932674207";37;37027;1;1;820,8;1
"id_3393933879361";17;17029;1;3;604,2;1
"id_3396933879603";46;46403;1;1;710,8;1
"id_3349933874956";41;41032;1;1;643,1;1
"id_3300933870040";58;58113;1;3;803,5;1
"id_3399933979987";55;55111;1;1;626,5;1
"id_3334933973480";12;12071;1;6;764,6;1
"id_3389933578956";14;14100;4;15;516,2;11
"id_3386933578643";55;55114;1;2;678,8;1
"id_3396933579675";37;37102;1;2;890,3;1
"id_3374933577464";18;18040;1;1;684,45;1
"id_3372933577282";24;24040;1;2;647,75;1
"id_3377933777792";41;41212;1;8;546,3;1
"id_3365933776519";49;49013;1;2;635,4;1
"id_3303933170330";17;17839;1;1;432,85;1
"id_3398933479803";13;13008;1;2;537,9;1
"id_3366933476674";41;41214;1;1;717,3;1
"id_3309933270963";56;56210;1;1;740,2;1
"id_3305933270517";21;21002;1;1;816,1;1
"id_3369933276936";21;21002;1;1;793,5;1
"id_3334933373414";20;20050;1;3;532,8;1
"id_3334933373435";26;26052;1;0;0;2
"id_3303933370313";39;39422;1;4;746,25;1
"id_3359933675967";56;56521;1;1;667,2;1
"id_3088930878836";23;23078;1;1;609,3;1
"id_3042930874280";19;19080;1;1;698,4;1
"id_3006930870664";41;41002;1;3;552,7;1
"id_3036930973699";52;52504;1;16;570,5;1
"id_3062930976287";35;35017;1;2;640,85;1
"id_3000930570096";47;47001;1;9;634,6;1
"id_3001930770157";46;46306;1;0;0;2
"id_3098930179874";55;55020;1;6;641,9;1
"id_3043930174348";39;39403;1;1;592,8;1
"id_3003930170323";40;40051;1;3;628,35;1
"id_3069930176971";45;45021;1;0;0;9
"id_3054930475444";51;51175;1;7;642,8;1
"id_3046930274663";58;58013;1;0;0;2
"id_3055930375574";11;11022;1;1;798,7;1
"id_3053930075396";35;35087;1;2;877,3;1
"id_3079930077938";35;35064;1;6;583,5;1
"id_3046930074649";49;49211;1;1;707,1;1
"id_3025930072564";34;34048;1;1;590;1
"id_3076930677638";17;17086;1;4;570,9;1
"id_3001930670179";50;50130;1;1;639,4;1
"id_3004930670474";41;41214;1;0;0;2
"id_3603936870322";32;32016;1;1;521,95;1
"id_3618936971871";50;50224;1;2;617,15;1
"id_3630936973098";49;49317;1;4;481,9;8
"id_3608936970821";39;39419;1;1;823;1
"id_3663936976303";21;21031;1;2;546,85;1
"id_3692936579215";38;38167;1;1;727;1
"id_3618936571885";16;16070;1;1;769,6;1
"id_3646936574633";52;52176;1;0;0;2
"id_3622936572248";56;56314;1;1;868;1
"id_3636936573646";50;50924;1;2;605,15;1
"id_3600936570060";45;45039;1;1;408,2;1
"id_3686936778601";55;55021;1;1;635,85;1
"id_3644936774437";22;22061;1;6;549,95;9
"id_3635936773555";18;18069;1;1;779,1;1
"id_3682936178240";37;37100;1;1;636,8;1
"id_3679936477952";54;54301;1;0;0;2
"id_3624936472447";54;54101;1;1;607,4;1
"id_3616936271642";50;50802;1;3;700,8;1
"id_3693936379327";42;42121;1;1;861;1
"id_3618936371805";47;47201;1;1;733,6;1
"id_3617936371765";17;17032;1;2;647,85;1
"id_3625936372525";11;11028;1;2;667,5;1
"id_3654936075482";41;41007;1;1;554,1;1
"id_3608936070879";46;46104;1;1;586,5;1
"id_3693936679331";50;50833;1;1;778,75;1
"id_3653936675383";55;55110;1;1;609,9;1
"id_3676936677675";14;14063;1;1;811,9;1
"id_3663936676385";32;32005;1;1;539,85;1
"id_0810908871056";23;23012;1;1;718,9;1
"id_0838908873859";23;23029;1;1;661,7;1
"id_0887908978727";18;18054;1;1;805,8;1
"id_0890908979018";55;55020;1;2;653,35;1
"id_0816908971644";18;18062;1;1;784,9;1
"id_0891908579178";44;44010;1;6;713,55;1
"id_0829908572993";43;43030;1;3;673,7;1
"id_0805908570594";55;55070;1;1;704,1;1
"id_0807908570710";46;46402;1;0;0;2
"id_0802908570215";32;32164;1;1;517,1;1
"id_0893908779333";11;11060;1;1;904,85;1
"id_0853908775348";21;21024;1;2;671,3;1
"id_0812908771242";56;56510;1;1;702,3;1
"id_0821908772155";56;56215;4;2;569,45;11
"id_0823908772368";41;41078;1;3;691,2;1
"id_0802908770292";19;19012;1;3;501,2;1
"id_0889908178976";25;25065;1;2;579,8;1
