hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,distribution_channel,is_repeated_guest,previous_cancellations,adr
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,PRT,Direct,0,0,84.67
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,PRT,Direct,0,0,84.67
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,PRT,Direct,0,0,99.67
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,GBR,TA/TO,0,0,94.95
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,63.6
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,IRL,TA/TO,0,0,79.5
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,107
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,94
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,PRT,TA/TO,0,0,87.3
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,NULL,Direct,0,0,62
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,GBR,TA/TO,0,0,63.86
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,PRT,Direct,0,0,108.3
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,IRL,TA/TO,0,0,65.5
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,108.8
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,108.8
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,ESP,TA/TO,0,0,98
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,108.8
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,PRT,TA/TO,0,0,108.8
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,ROU,Direct,0,0,137
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,PRT,TA/TO,0,0,117.81
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,IRL,TA/TO,0,0,79.5
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,ESP,Direct,0,0,123
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,ROU,Direct,0,0,137
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,PRT,TA/TO,0,0,110.7
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,PRT,TA/TO,0,0,153
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,ESP,TA/TO,0,0,58.95
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,NOR,TA/TO,0,0,82.88
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,GBR,TA/TO,0,0,82.35
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,IRL,TA/TO,0,0,119.35
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,NOR,TA/TO,0,0,67.58
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,IRL,TA/TO,0,0,56.01
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,OMN,TA/TO,0,0,110.7
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,ESP,TA/TO,0,0,88.2
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,ARG,TA/TO,0,0,147
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,ESP,Direct,0,0,107
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,PRT,Direct,0,0,147
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,PRT,TA/TO,0,0,117.9
Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,PRT,Direct,0,0,123
Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,USA,TA/TO,0,0,98
Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,PRT,TA/TO,0,0,117.81
Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,IRL,TA/TO,0,0,135
Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,ESP,Direct,0,0,133
Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,IRL,TA/TO,0,0,58.95
Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,PRT,TA/TO,0,0,136.33
Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,USA,TA/TO,0,0,153
Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,ESP,TA/TO,0,0,110.5
Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,POL,TA/TO,0,0,97
Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,PRT,TA/TO,0,0,110.3
Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,82
Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,97
Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,91.5
Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,ESP,TA/TO,0,0,114.5
Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,PRT,TA/TO,0,0,110.3
Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,ESP,TA/TO,0,0,90.9
Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,PRT,TA/TO,0,0,122
Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,DEU,TA/TO,0,0,110.7
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,PRT,TA/TO,0,0,85.86
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,FRA,TA/TO,0,0,58.95
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,PRT,TA/TO,0,0,55.68
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,GBR,TA/TO,0,0,55.68
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,PRT,Direct,0,0,124
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,GBR,TA/TO,0,0,111.15
Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,GBR,TA/TO,0,0,134.73
Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,GBR,TA/TO,0,0,92.45
Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,PRT,TA/TO,0,0,108.73
Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,GBR,TA/TO,0,0,73.8
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,PRT,TA/TO,0,0,98
Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,ESP,TA/TO,0,0,131
Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,USA,TA/TO,0,0,94.71
Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BEL,TA/TO,0,0,123
Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,PRT,TA/TO,0,0,117
Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,ESP,TA/TO,0,0,196.54
Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,PRT,TA/TO,0,0,99.3
Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,DEU,Direct,0,0,90.95
Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,ESP,Direct,0,0,92.67
Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,FRA,TA/TO,0,0,71.55
Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,FRA,TA/TO,0,0,96.49
Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,PRT,TA/TO,0,0,85.8
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,PRT,TA/TO,0,0,96.3
Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,PRT,TA/TO,0,0,163
Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,PRT,Direct,0,0,172
Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,PRT,TA/TO,0,0,110.7
Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,PRT,TA/TO,0,0,58.95
Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,PRT,TA/TO,0,0,73.8
Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,CHE,TA/TO,0,0,97
Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,PRT,TA/TO,0,0,139
Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,GBR,TA/TO,0,0,67.24
Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,PRT,TA/TO,0,0,116.5
Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,PRT,TA/TO,0,0,96.3
Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,GBR,TA/TO,0,0,71.55
Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,PRT,TA/TO,0,0,71.55
Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,PRT,Direct,0,0,149
Resort Hotel,0,2,2015,July,27,4,0,1,2,2,0,PRT,TA/TO,0,0,163
Resort Hotel,0,30,2015,July,27,4,0,1,2,0,0,PRT,TA/TO,0,0,79.5
Resort Hotel,1,51,2015,July,27,4,0,1,1,0,0,PRT,TA/TO,0,0,105
Resort Hotel,1,36,2015,July,27,4,0,1,1,0,0,PRT,Direct,0,0,123
Resort Hotel,1,73,2015,July,27,4,0,1,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,1,33,2015,July,27,4,0,1,2,0,0,PRT,TA/TO,0,0,113
Resort Hotel,0,32,2015,July,27,4,0,1,4,0,0,PRT,Direct,0,0,0
Resort Hotel,0,8,2015,July,27,4,0,1,2,0,0,ESP,TA/TO,0,0,123
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,FRA,TA/TO,0,0,73.8
Resort Hotel,0,1,2015,July,27,4,1,1,2,0,0,PRT,TA/TO,0,0,114.5
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,FRA,TA/TO,0,0,73.8
Resort Hotel,0,100,2015,July,27,4,1,1,2,0,0,FRA,TA/TO,0,0,73.8
Resort Hotel,0,9,2015,July,28,5,1,0,2,0,0,ESP,TA/TO,0,0,88.2
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,PRT,TA/TO,0,0,97
Resort Hotel,0,0,2015,July,28,5,1,0,2,0,0,ESP,TA/TO,0,0,85.1
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,DEU,TA/TO,0,0,89
Resort Hotel,0,2,2015,July,28,5,1,0,1,0,0,PRT,TA/TO,0,0,80.1
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,PRT,TA/TO,0,0,98
Resort Hotel,0,9,2015,July,28,5,1,0,1,0,0,DEU,TA/TO,0,0,101
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,PRT,TA/TO,0,0,97
Resort Hotel,0,2,2015,July,28,5,1,0,2,0,0,PRT,Direct,0,0,167
Resort Hotel,0,44,2015,July,28,5,2,0,3,0,0,PRT,TA/TO,0,0,225
Resort Hotel,0,80,2015,July,28,5,2,0,2,0,0,FRA,TA/TO,0,0,97
Resort Hotel,0,97,2015,July,28,5,2,2,2,0,0,ESP,TA/TO,0,0,87.3
Resort Hotel,0,109,2015,July,28,5,2,3,2,1,0,CN,TA/TO,0,0,85.59
Resort Hotel,0,30,2015,July,28,5,2,3,2,0,0,ESP,TA/TO,0,0,123
Resort Hotel,0,64,2015,July,28,5,2,3,2,0,0,PRT,TA/TO,0,0,107
Resort Hotel,0,39,2015,July,28,5,2,4,2,0,0,ESP,TA/TO,0,0,163
Resort Hotel,0,90,2015,July,28,5,2,4,2,0,0,PRT,TA/TO,0,0,82
Resort Hotel,1,34,2015,July,28,5,2,4,2,2,0,PRT,TA/TO,0,0,163
Resort Hotel,1,93,2015,July,28,5,2,5,2,0,0,PRT,TA/TO,0,0,105.5
Resort Hotel,0,97,2015,July,28,5,2,5,2,2,0,PRT,Direct,0,0,164.2
Resort Hotel,0,29,2015,July,28,5,2,5,2,0,0,IRL,TA/TO,0,0,97.29
Resort Hotel,1,101,2015,July,28,5,2,5,2,0,0,PRT,TA/TO,0,0,114
Resort Hotel,0,27,2015,July,28,5,2,5,2,0,0,ESP,TA/TO,0,0,98.4
Resort Hotel,0,8,2015,July,28,5,4,5,2,2,0,CHE,TA/TO,0,0,175
Resort Hotel,0,82,2015,July,28,5,4,6,2,0,0,PRT,TA/TO,0,0,63.6
Resort Hotel,0,94,2015,July,28,5,4,6,3,0,0,PRT,Direct,0,0,124.45
Resort Hotel,0,110,2015,July,28,5,4,7,2,0,0,GBR,TA/TO,0,0,110.7
Resort Hotel,0,96,2015,July,28,5,4,10,1,0,0,GBR,TA/TO,0,0,74.07
Resort Hotel,0,79,2015,July,28,5,4,10,2,0,0,GBR,TA/TO,0,0,134.1
Resort Hotel,0,115,2015,July,28,6,1,4,2,2,0,PRT,TA/TO,0,0,167
Resort Hotel,0,111,2015,July,28,6,1,3,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,51,2015,July,28,6,1,3,2,0,0,USA,TA/TO,0,0,117.81
Resort Hotel,0,94,2015,July,28,6,1,3,3,0,0,CN,TA/TO,0,0,171.32
Resort Hotel,0,81,2015,July,28,6,1,3,2,2,0,CHE,Direct,0,0,210
Resort Hotel,0,84,2015,July,28,6,1,3,2,0,1,PRT,TA/TO,0,0,97
Resort Hotel,0,51,2015,July,28,6,1,3,3,0,0,USA,TA/TO,0,0,117.81
Resort Hotel,0,111,2015,July,28,6,0,0,2,0,0,PRT,TA/TO,0,0,0
Resort Hotel,0,0,2015,July,28,6,0,0,1,0,0,PRT,Direct,0,0,0
Resort Hotel,0,2,2015,July,28,6,1,0,2,1,0,PRT,Direct,0,0,131
Resort Hotel,0,7,2015,July,28,6,1,1,2,0,0,PRT,TA/TO,0,0,98
Resort Hotel,0,98,2015,July,28,6,1,1,2,0,0,USA,TA/TO,0,0,87.3
Resort Hotel,0,95,2015,July,28,6,1,2,2,0,0,GRC,TA/TO,0,0,97
Resort Hotel,1,48,2015,July,28,6,1,3,2,0,0,PRT,TA/TO,0,0,167
Resort Hotel,0,66,2015,July,28,6,1,3,2,0,0,PRT,TA/TO,0,0,91.5
Resort Hotel,0,104,2015,July,28,6,1,3,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,0,28,2015,July,28,6,1,4,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,34,2015,July,28,6,1,4,2,0,0,PRT,Direct,0,0,175
Resort Hotel,0,98,2015,July,28,6,1,5,2,0,0,ESP,TA/TO,0,0,117.8
Resort Hotel,0,104,2015,July,28,6,1,5,2,0,0,PRT,TA/TO,0,0,117.63
Resort Hotel,0,68,2015,July,28,6,2,5,2,2,0,PRT,TA/TO,0,0,185
Resort Hotel,1,86,2015,July,28,6,2,5,1,0,0,PRT,TA/TO,0,0,71
Resort Hotel,0,258,2015,July,28,6,2,5,2,0,0,GBR,TA/TO,0,0,47.25
Resort Hotel,0,111,2015,July,28,6,3,5,2,0,0,PRT,TA/TO,0,0,151
Resort Hotel,1,94,2015,July,28,6,3,7,2,0,0,PRT,TA/TO,0,0,87.3
Resort Hotel,0,112,2015,July,28,6,3,7,2,0,0,GBR,TA/TO,0,0,120.6
Resort Hotel,0,100,2015,July,28,6,3,7,2,0,0,GBR,TA/TO,0,0,63.86
Resort Hotel,0,33,2015,July,28,6,3,7,2,0,0,PRT,Direct,0,0,157.1
Resort Hotel,0,97,2015,July,28,6,3,7,2,0,0,GBR,TA/TO,0,0,91.37
Resort Hotel,0,80,2015,July,28,6,3,8,1,0,0,FRA,Direct,0,0,73
Resort Hotel,0,90,2015,July,28,6,4,10,2,0,0,ITA,TA/TO,0,0,110.7
Resort Hotel,0,111,2015,July,28,6,4,10,2,0,0,GBR,TA/TO,0,0,93.6
Resort Hotel,0,65,2015,July,28,6,2,5,2,0,0,PRT,TA/TO,0,0,83.5
Resort Hotel,1,67,2015,July,28,7,0,2,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,0,55,2015,July,28,7,0,3,2,0,0,ESP,TA/TO,0,0,82
Resort Hotel,0,21,2015,July,28,7,0,3,2,1,0,PRT,Direct,0,0,185.5
Resort Hotel,0,8,2015,July,28,7,0,0,2,0,0,PRT,Direct,0,0,0
Resort Hotel,0,8,2015,July,28,7,0,0,2,0,0,PRT,TA/TO,0,0,0
Resort Hotel,0,0,2015,July,28,7,0,1,1,0,0,GBR,TA/TO,0,0,109.8
Resort Hotel,0,0,2015,July,28,7,0,1,3,0,0,PRT,Direct,0,0,195
Resort Hotel,0,0,2015,July,28,7,0,1,1,0,0,GBR,TA/TO,0,0,109.8
Resort Hotel,0,8,2015,July,28,7,0,4,3,2,0,ESP,TA/TO,0,0,193
Resort Hotel,0,66,2015,July,28,7,0,4,2,0,0,PRT,TA/TO,0,0,97
Resort Hotel,0,88,2015,July,28,7,0,4,3,0,0,USA,TA/TO,0,0,150
Resort Hotel,0,0,2015,July,28,7,0,4,2,0,0,NLD,Direct,0,0,98
Resort Hotel,1,43,2015,July,28,7,0,5,2,0,0,PRT,TA/TO,0,0,91.5
Resort Hotel,1,88,2015,July,28,7,2,5,2,0,0,PRT,TA/TO,0,0,139
Resort Hotel,0,54,2015,July,28,7,2,5,2,0,0,IRL,TA/TO,0,0,79.5
Resort Hotel,1,292,2015,July,28,7,2,5,2,0,0,PRT,TA/TO,0,0,47.25
Resort Hotel,0,112,2015,July,28,7,4,10,2,0,0,IRL,TA/TO,0,0,126.65
Resort Hotel,0,68,2015,July,28,8,0,3,2,0,0,GBR,TA/TO,0,0,107
Resort Hotel,0,7,2015,July,28,8,0,4,2,0,0,PRT,TA/TO,0,0,131
Resort Hotel,0,1,2015,July,28,8,0,4,2,0,0,ESP,TA/TO,0,0,131
Resort Hotel,1,113,2015,July,28,8,0,4,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,5,2015,July,28,8,0,4,2,0,0,ESP,TA/TO,0,0,146
Resort Hotel,0,83,2015,July,28,8,0,4,2,0,0,PRT,TA/TO,0,0,110.7
Resort Hotel,1,105,2015,July,28,8,0,4,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,0,0,2015,July,28,8,0,1,1,0,0,PRT,TA/TO,0,0,61
Resort Hotel,1,1,2015,July,28,8,0,1,2,0,0,PRT,Corporate,0,0,104.72
Resort Hotel,1,1,2015,July,28,8,0,1,2,0,0,PRT,Corporate,0,0,104.72
Resort Hotel,0,1,2015,July,28,8,0,2,2,0,0,CHE,Corporate,0,0,104.72
Resort Hotel,1,102,2015,July,28,8,1,4,2,0,0,PRT,Direct,0,0,66.42
Resort Hotel,0,113,2015,July,28,8,2,4,2,0,0,PRT,Direct,0,0,77.96
Resort Hotel,1,280,2015,July,28,8,2,5,2,1,0,PRT,TA/TO,0,0,112
Resort Hotel,0,96,2015,July,28,8,2,5,2,0,0,GBR,TA/TO,0,0,107
Resort Hotel,0,394,2015,July,28,8,2,5,2,0,0,GBR,TA/TO,0,0,89.68
Resort Hotel,0,33,2015,July,28,8,2,5,2,0,0,PRT,TA/TO,0,0,155
Resort Hotel,0,82,2015,July,28,8,2,6,3,0,0,IRL,Direct,0,0,112
Resort Hotel,0,100,2015,July,28,8,2,7,3,0,0,DNK,TA/TO,0,0,130.1
Resort Hotel,0,100,2015,July,28,8,2,7,2,0,0,DNK,TA/TO,0,0,100.1
Resort Hotel,0,17,2015,July,28,9,0,1,2,2,0,PRT,TA/TO,0,0,123
Resort Hotel,0,68,2015,July,28,9,0,2,3,0,0,ARG,Direct,0,0,124
Resort Hotel,0,12,2015,July,28,9,0,2,2,2,0,PRT,Direct,0,0,146
Resort Hotel,1,77,2015,July,28,9,0,3,2,0,0,PRT,Direct,0,0,97
Resort Hotel,1,24,2015,July,28,9,0,3,2,2,0,PRT,TA/TO,0,0,123
Resort Hotel,1,44,2015,July,28,9,0,3,2,2,0,PRT,TA/TO,0,0,153
Resort Hotel,0,78,2015,July,28,9,0,3,2,0,1,PRT,TA/TO,0,0,82
Resort Hotel,1,17,2015,July,28,9,1,3,2,0,0,PRT,TA/TO,0,0,105.08
Resort Hotel,1,103,2015,July,28,9,1,3,2,0,0,PRT,TA/TO,0,0,65.42
Resort Hotel,0,16,2015,July,28,9,1,3,1,0,0,RUS,Direct,0,0,98
Resort Hotel,0,14,2015,July,28,9,2,3,2,0,0,SWE,TA/TO,0,0,75.46
Resort Hotel,0,77,2015,July,28,9,2,3,2,0,0,POL,TA/TO,0,0,65.5
Resort Hotel,0,90,2015,July,28,9,2,5,2,0,0,FRA,TA/TO,0,0,90.95
Resort Hotel,0,90,2015,July,28,9,2,5,2,0,0,GBR,TA/TO,0,0,93.6
Resort Hotel,0,90,2015,July,28,9,2,5,2,0,0,GBR,TA/TO,0,0,119.25
Resort Hotel,0,366,2015,July,28,9,2,5,2,0,0,GBR,TA/TO,0,0,134.73
Resort Hotel,0,249,2015,July,28,9,2,5,2,0,0,PRT,TA/TO,0,0,112
Resort Hotel,1,69,2015,July,28,9,2,6,2,0,0,PRT,TA/TO,0,0,118.13
Resort Hotel,0,10,2015,July,28,10,0,1,2,0,0,USA,Direct,0,0,131
Resort Hotel,0,22,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,88.2
Resort Hotel,0,91,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,0,23,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,98
Resort Hotel,0,11,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,110.5
Resort Hotel,0,3,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,131
Resort Hotel,0,13,2015,July,28,10,0,2,2,1,0,PRT,TA/TO,0,0,185
Resort Hotel,0,108,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,87.3
Resort Hotel,0,91,2015,July,28,10,0,2,2,0,0,PRT,TA/TO,0,0,73.8
Resort Hotel,0,37,2015,July,28,10,1,2,2,0,0,GBR,TA/TO,0,0,120
Resort Hotel,0,21,2015,July,28,10,1,2,2,0,0,AUS,Direct,0,0,98
Resort Hotel,0,106,2015,July,28,10,1,2,2,0,0,GBR,TA/TO,0,0,96.3
Resort Hotel,0,30,2015,July,28,10,2,2,2,0,0,PRT,Direct,0,0,197
Resort Hotel,0,30,2015,July,28,10,2,2,2,0,0,PRT,Direct,0,0,197
Resort Hotel,1,51,2015,July,28,10,2,3,2,0,0,PRT,TA/TO,0,0,123
Resort Hotel,0,79,2015,July,28,10,2,3,2,0,0,POL,TA/TO,0,0,82
Resort Hotel,0,21,2015,July,28,10,2,3,2,0,2,PRT,Direct,0,0,165
Resort Hotel,0,35,2015,July,28,10,2,3,2,2,0,EST,TA/TO,0,0,149.4
Resort Hotel,0,78,2015,July,28,10,2,5,2,0,0,PRT,TA/TO,0,0,106.84
Resort Hotel,0,31,2015,July,28,10,2,5,2,0,0,PRT,Direct,0,0,161
Resort Hotel,0,78,2015,July,28,10,2,5,2,0,0,PRT,TA/TO,0,0,134.43
Resort Hotel,0,78,2015,July,28,10,2,5,2,0,0,PRT,TA/TO,0,0,144.43
Resort Hotel,0,44,2015,July,28,10,2,5,1,0,0,RUS,TA/TO,0,0,152
Resort Hotel,0,34,2015,July,28,10,2,5,2,1,0,GBR,TA/TO,0,0,125.54
Resort Hotel,0,87,2015,July,28,10,2,5,2,1,1,PRT,TA/TO,0,0,133.83
Resort Hotel,0,11,2015,July,28,10,2,6,3,1,0,PRT,Direct,0,0,159.75
Resort Hotel,0,115,2015,July,28,10,2,7,2,0,0,IRL,TA/TO,0,0,120.6
Resort Hotel,0,86,2015,July,28,10,3,7,2,0,0,PRT,TA/TO,0,0,112.2
Resort Hotel,0,41,2015,July,28,10,4,7,2,0,1,GBR,TA/TO,0,0,110.6
Resort Hotel,0,32,2015,July,28,10,4,9,2,0,0,DNK,TA/TO,0,0,105.9
Resort Hotel,0,34,2015,July,28,10,2,5,2,1,0,GBR,TA/TO,0,0,95.27
Resort Hotel,0,34,2015,July,28,10,2,5,2,0,0,GBR,TA/TO,0,0,108.83
Resort Hotel,1,100,2015,July,28,11,2,3,2,1,0,PRT,TA/TO,0,0,153.96
Resort Hotel,0,44,2015,July,28,11,2,3,2,0,0,ESP,TA/TO,0,0,120.6
Resort Hotel,0,304,2015,July,28,11,2,4,2,0,1,PRT,TA/TO,0,0,90.67
Resort Hotel,1,36,2015,July,28,11,2,4,2,0,0,PRT,TA/TO,0,0,126.67
Resort Hotel,0,117,2015,July,28,11,2,4,3,0,0,PRT,TA/TO,0,0,144.4
Resort Hotel,0,70,2015,July,28,11,2,4,2,0,0,ESP,TA/TO,0,0,99.5
Resort Hotel,0,110,2015,July,28,11,2,5,2,0,0,PRT,Direct,0,0,139.4
Resort Hotel,1,109,2015,July,28,11,2,5,2,0,0,PRT,TA/TO,0,0,73.8
