student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,drug_use,focus_index,burnout_level,productivity_score,exam_score
18,24.0,Male,High School ,4.39,1.87,2.51,3.08,3.06,6.74,6.52,79.0,178.0,Yes,0.0,Average,4.0,,22.13,50.44,23.44,16.74
19,20.0,Male,Postgraduate,10.49,1.57,3.42,5.12,2.28,5.69,8.0,65.0,42.0,no,0.0,Average,8.0,1.0,48.09,46.39,75.97,47.19
20,,,,,,,,,,,,473.0,,,,,1.0,,38.79,,27.22
21,24.0,Female,Undergraduate ,6.88,3.68,1.97,1.82,0.57,7.7,1.89,30.0,338.0,Yes,0.0,Average,2.0,,28.09,31.88,42.22,29.47
22,19.0,Female,Postgraduate,6.64,3.51,0.93,0.46,1.85,7.44,5.91,14.0,102.0,No,1.0,Average,6.0,,44.1,35.36,52.38,32.77
23,19.0,Female,High School,6.13,1.97,0.8,0.0,0.57,7.35,8.44,22.0 min,290.0,No,0.0,Good,1.0,,18.87,48.95,19.1,5.51
24,25.0,Male,Postgraduate,4.22,3.31,1.52,1.43,0.0,7.43,8.74,41.0,187.0,Yes,0.0,Average,8.0,0.0,54.44,51.65,49.8,34.05
25,24.0,Female,Postgraduate,4.74,3.9,1.56,4.69,2.45,6.73,9.1,133.0,420.0,Yes,1.0,Good,3.0,,14.8,60.4,22.4,6.75
26,21.0,Female,Postgraduate,4.27,1.92,3.54,3.58,1.47,7.4,11.54,147.0,405.0,Yes,1.0,Good,6.0,1.0,33.18,67.86,31.65,14.19
27,,,,,,,2.3,,4.92,,,,,,,,,20.06,,,
28,21.0,Male,Undergraduate ,5.2,1.19,2.1,7.45,0.0,6.85,6.77,134.0,52.0,No,0.0,Average,10.0,1.0,35.09,33.38,58.9,37.68
29,21.0,Male,Undergraduate,3.49,2.4,1.14,2.8,1.27,6.2,6.38,62.0,263.0,No,1.0,Poor,2.0,,13.96,56.31,6.99,1.0
30,25.0,Female,High School,4.27,3.95,1.86,3.41,2.92,8.71,9.14,127.0,,Yes,1.0,Poor,6.0,0.0,35.7,63.31,43.58,
31,25.0,Male,Undergraduate,5.35,1.79,1.68,1.11,0.0,8.35,5.38,89.0,1.0,No,0.0,Poor,6.0,,40.07,17.33,47.8,33.39
32,20.0,Female,Undergraduate ,8.22,4.36,1.69,3.57,0.72,6.71,10.05,61.0,478.0,No,1.0,Good,7.0,1.0,40.86,58.93,65.85,35.02
33,21.0,Female,Undergraduate,3.52,5.02,1.95,4.18,0.67,7.52,2.94,10.0 min,422.0,No,1.0,Average,5.0,1.0,33.05,49.36,31.68,21.62
34,20.0,Male,Postgraduate,6.31,4.5,0.0,2.55,1.32,6.33,12.94,35.0,396.0,yes,0.0,Poor,8.0,,46.5,67.78,57.2,23.78
35,24.0,Male,Undergraduate,3.91,2.41,2.05,4.4,0.67,6.05,2.22,122.0,358.0,No,1.0,Poor,10.0,,37.95,51.04,56.65,26.89
36,19.0,Female,High School ,4.49,,1.79,2.73,2.82,6.96,10.91,43.0,309.0,no,1.0,Good,1.0,1.0,15.44,60.25,14.44,10.88
37,22.0,Female,Undergraduate ,3.69,3.58,1.29,1.32,0.73,6.21,10.08,6.0,460.0,No,1.0,Poor,5.0,,26.33,81.53,12.83,1.33
38,18.0,Female,Postgraduate ,3.14,,2.56,3.42,0.0,7.21,,60.0,423.0,No,,Average,,0.0,,33.62,17.74,1.8
39,19.0,Male,,9.61,,2.81,,,,,,,,1.0,,,,,,,
40,23.0,Female,Undergraduate,3.45,2.46,1.84,2.93,0.0,8.57,7.18,42.0,62.0,Yes,1.0,Good,3.0,,28.43,37.92,32.78,21.86
41,21.0,Male,Postgraduate,7.61,2.36,1.12,3.05,2.03,5.72,7.46,124.0,139.0,yes,1.0,Poor,3.0,,29.09,54.33,46.58,28.26
42,18.0,Male,Undergraduate,4.27,1.96,2.04,2.01,0.0,7.54,8.11,30.0,380.0,no,0.0,Good,1.0,,30.88,41.69,26.34,13.94
43,16.0,Male,High School ,5.51,1.02,2.5,2.0,2.36,8.14,7.26,136.0,496.0,no,0.0,Poor,5.0,,26.44,22.93,52.32,34.41
44,22.0,Female,High School,1.84,2.12,1.02,3.26,0.0,7.01,4.97,31.0,487.0,yes,0.0,Poor,10.0,,35.83,46.38,37.18,25.45
45,22.0,Female,Postgraduate,3.3,4.42,2.63,4.78,2.15,6.11,8.37,127.0,338.0,No,1.0,Poor,3.0,,7.35,56.54,9.29,1.0
46,20.0,Female,Postgraduate ,6.3,1.64,1.59,3.29,0.4,6.93,7.58,46.0,175.0,No,1.0,Poor,2.0,1.0,30.82,55.85,37.67,11.14
47,23.0,Female,High School,6.3,1.56,1.93,3.78,3.11,8.2,4.84,1.0,200.0,No,0.0,Average,3.0,,22.91,34.12,31.65,16.24
48,16.0,Female,High School,3.29,4.52,0.17,2.98,3.97,7.21,3.63,148.0,433.0,No,0.0,Average,10.0,0.0,41.9,14.08,61.58,37.4
49,16.0,Female,Undergraduate,4.43,1.24,0.93,3.95,1.27,8.16,6.3,136.0,91.0,Yes,1.0,Average,10.0,,32.46,36.06,58.76,35.86
50,17.0,Other,High School,,2.36,4.03,5.63,2.01,,8.8,84.0,304.0,Yes,0.0,Good,5.0,,24.17,56.81,43.7,
51,20.0,Female,Undergraduate,4.56,1.34,2.11,4.19,2.98,6.39,4.92,29.0,146.0,No,1.0,Good,9.0,,26.35,39.01,54.46,28.35
52,16.0,Female,Postgraduate ,5.14,1.69,0.69,1.49,0.23,8.33,5.28,80.0 min,314.0,No,1.0,Average,2.0,0.0,30.55,37.25,30.13,20.14
53,,,,1.62,,,,,,,106.0,,No,,,,,,,,
54,21.0,Male,,4.07,,2.13,4.08,2.08,7.67,8.35,4.0,323.0,Yes,,Average,2.0,,21.51,52.09,,
55,21.0,Female,Undergraduate,3.18,2.03,3.79,3.66,1.74,6.95,4.82,8.0,281.0,Yes,0.0,Poor,9.0,1.0,30.16,49.29,36.03,13.26
56,25.0,Female,Postgraduate,2.69,0.9,0.19,,1.31,7.75,7.37,71.0,339.0,no,0.0,Average,8.0,,33.28,,,37.73
57,24.0,Other,Postgraduate,4.6,0.72,2.03,1.85,0.81,7.12,12.27,129.0,247.0,Yes,1.0,Good,8.0,,39.76,70.97,39.88,6.75
58,18.0,Female,Postgraduate ,6.8,3.62,0.19,,0.89,7.95,3.78,129.0,486.0,no,,Average,,,,28.9,32.82,7.89
59,22.0,Male,Undergraduate,5.33,4.25,2.79,1.31,1.66,4.81,10.02,96.0,253.0,Yes,1.0,Average,1.0,,23.7,81.83,13.67,1.0
60,17.0,Female,Undergraduate,7.1,2.38,0.0,2.4,0.18,9.96,9.76,137.0,215.0,Yes,0.0,Poor,9.0,,51.54,23.15,74.42,46.89
61,,,,,,,,,8.11,,,,,,Good,,,,31.13,,
62,25.0,Male,Undergraduate,4.01,1.66,,2.89,1.22,9.15,4.52,123.0,381.0,Yes,,Poor,7.0,,,22.77,38.96,22.83
63,,,,,,,,,,,,,No,,Average,,,,,34.18,11.43
64,20.0,Female,Undergraduate,3.58,2.74,1.15,2.25,1.05,4.44,9.12,78.0,345.0,yes,1.0,Poor,1.0,1.0,10.6,84.14,1.34,1.0
65,18.0,Other,Postgraduate,4.43,4.63,2.85,2.09,,6.28,10.74,29.0,200.0,No,1.0,Average,4.0,,,60.5,22.26,5.93
66,24.0,Male,High School,2.89,2.3,2.09,0.08,3.14,7.86,9.66,108.0,98.0,yes,0.0,Good,1.0,,20.22,41.9,9.18,1.0
67,21.0,Female,High School ,4.68,2.26,1.66,2.47,0.47,9.17,12.72,19.0,447.0,Yes,0.0,Poor,10.0,,60.06,,62.54,37.94
68,20.0,Male,High School,3.59,2.32,0.06,5.1,1.05,6.21,4.39,11.0,8.0,no,1.0,Poor,4.0,,32.36,42.51,21.4,11.21
69,16.0,Male,,6.6,,2.9,2.55,2.1,,9.24,131.0,372.0,Yes,1.0,Average,,1.0,38.5,55.55,37.67,18.62
70,18.0,Male,Undergraduate,3.07,2.18,2.4,4.03,3.42,6.15,1.63,131.0,364.0,Yes,0.0,Average,9.0,,23.62,33.46,38.75,15.32
71,17.0,Male,High School,2.32,2.36,1.7,3.27,2.76,8.37,7.94,111.0,406.0,Yes,0.0,Average,8.0,,22.64,37.31,38.93,14.38
72,25.0,Female,Undergraduate ,7.28,0.68,2.87,2.29,1.55,6.69,6.3,113.0,62.0,No,1.0,Average,9.0,1.0,40.11,37.29,66.05,43.73
73,19.0,Male,Postgraduate,6.12,3.66,3.46,5.68,1.41,8.81,7.5,74.0,328.0,No,0.0,Poor,4.0,,29.9,15.18,42.56,41.21
74,20.0,Male,High School,4.25,3.31,2.79,3.68,1.33,8.07,6.63,84.0,277.0,No,0.0,Average,1.0,,27.0,26.0,32.32,25.29
75,,,,,,,,,,,85.0,,,,Good,,,,,,
76,24.0,Male,High School,5.81,2.08,1.38,5.05,1.56,6.25,5.98,39.0,142.0,Yes,0.0,Average,9.0,,31.77,38.86,65.51,37.43
77,,Male,High School ,4.29,2.48,1.59,,2.73,5.89,7.82,88.0,96.0,No,,Average,7.0,,34.77,28.51,45.95,20.43
78,16.0,Female,High School,5.55,2.32,2.73,2.53,0.0,4.96,3.55,60.0,65.0,,0.0,Poor,1.0,,,40.21,29.77,12.98
79,23.0,Female,High School,2.45,3.58,3.74,2.66,1.16,5.39,3.78,136.0,436.0,yes,1.0,Good,4.0,,22.57,63.07,12.47,2.57
80,,,Undergraduate,4.56,,,,1.12,7.91,,,19.0,No,,,,,,37.99,,
81,,Other,,,,,,,,,,,,,Average,,,37.33,,,
82,24.0,Male,Undergraduate,4.51,4.56,4.21,2.44,2.2,7.05,10.97,42.0 min,16.0,Yes,0.0,Good,5.0,,34.82,49.19,38.5,20.66
83,21.0,Female,High School,5.39,3.25,0.18,1.75,0.32,7.26,3.53,127.0,401.0,Yes,0.0,Average,1.0,,25.98,40.98,20.4,18.87
84,16.0,Male,High School,4.73,1.45,3.4,3.7,3.23,4.03,5.93,110.0,448.0,Yes,1.0,Poor,9.0,,21.51,71.25,27.55,5.69
85,20.0,Male,Undergraduate,4.13,1.97,2.4,4.55,0.85,6.45,8.72,83.0,87.0,yes,0.0,Poor,1.0,0.0,16.02,48.6,14.52,6.2
86,24.0,Female,Postgraduate,8.12,2.53,3.54,1.79,2.94,6.4,5.08,126.0,460.0,No,0.0,Poor,1.0,1.0,28.17,23.73,47.84,26.12
87,20.0,Female,Postgraduate,5.47,2.42,2.4,2.62,2.07,6.11,4.0,98.0 min,374.0,yes,0.0,Poor,3.0,,21.61,36.34,32.47,17.9
88,22.0,Female,Postgraduate,5.18,1.25,2.41,1.01,1.28,6.44,10.36,18.0,382.0,yes,0.0,Good,3.0,1.0,27.69,57.5,31.34,8.74
89,25.0,Other,Postgraduate,6.23,2.49,2.88,4.19,1.54,4.49,4.91,92.0,437.0,No,1.0,Good,5.0,1.0,33.22,71.78,39.32,16.83
90,18.0,Other,Postgraduate,4.64,2.36,0.75,4.48,0.0,8.22,3.18,30.0,487.0,Yes,1.0,Good,7.0,,40.21,40.67,49.11,33.84
91,22.0,Male,High School ,5.4,0.0,1.57,,1.65,6.68,4.35,13.0,51.0,no,0.0,Good,7.0,,21.71,25.81,54.74,28.27
92,17.0,Male,Postgraduate ,1.77,0.65,2.78,1.27,1.08,6.83,5.09,17.0,304.0,yes,1.0,Good,9.0,,27.77,62.68,34.14,16.75
93,16.0,Female,High School,6.94,1.04,3.6,5.46,1.12,8.26,5.58,27.0,170.0,No,0.0,Good,6.0,,33.57,21.59,70.33,35.73
94,,,Undergraduate,,,,,,4.32,5.19,,,,0.0,,,,,,25.95,
95,19.0,Male,Postgraduate,7.34,3.15,1.53,1.54,1.1,6.37,6.56,67.0 min,58.0,No,0.0,Good,10.0,,46.39,38.69,72.6,42.92
96,21.0,Female,,5.77,4.14,0.96,4.26,2.44,6.06,8.72,23.0,160.0,yes,0.0,Average,5.0,,30.21,59.79,41.42,
97,25.0,Male,Undergraduate,2.42,3.85,1.26,3.64,2.16,7.19,9.83,76.0 min,472.0,yes,0.0,Average,1.0,,19.43,51.73,4.64,1.0
98,23.0,Other,Postgraduate,1.97,2.58,1.4,5.15,2.08,5.92,6.23,27.0,401.0,No,0.0,Poor,3.0,,9.61,41.42,8.0,2.66
99,17.0,Male,Postgraduate,3.04,2.44,2.92,2.45,3.09,8.28,11.49,70.0 min,303.0,Yes,1.0,Average,7.0,,37.6,59.32,36.44,19.38
100,19.0,Female,Undergraduate,2.25,2.45,0.0,4.23,3.4,8.46,5.8,27.0,198.0,Yes,0.0,Average,10.0,,27.46,38.24,45.66,27.79
101,,,,,3.26,,,,8.47,,,313.0,,,Good,,1.0,41.49,,,
102,18.0,Female,Undergraduate,2.76,1.25,0.0,2.88,0.0,7.87,6.12,46.0,318.0,Yes,1.0,Average,9.0,,24.36,66.67,39.17,19.94
103,23.0,Male,High School,,,,,,,,,,,,Poor,,,,,,14.35
104,22.0,Male,High School,1.62,1.04,,4.11,0.01,6.56,7.94,14.0,410.0,yes,1.0,Good,10.0,,31.89,71.45,31.95,13.8
105,23.0,Male,Postgraduate,5.22,3.57,0.66,3.28,3.75,8.64,6.0,95.0,288.0,no,1.0,Average,9.0,1.0,35.74,29.88,59.9,35.47
106,23.0,Female,Postgraduate,4.78,3.32,1.21,5.3,3.08,8.44,4.0,50.0,,no,1.0,Good,,1.0,27.69,,46.87,27.47
107,19.0,Male,Postgraduate,3.93,3.06,0.4,2.0,1.07,7.2,4.26,125.0,81.0,Yes,1.0,Average,10.0,,46.51,42.22,59.66,34.96
108,19.0,Male,High School ,2.86,4.03,2.03,3.38,2.85,7.73,10.05,119.0,,No,,Good,,,32.33,47.38,35.08,
109,20.0,Other,Undergraduate,4.33,0.0,3.33,0.17,2.71,7.48,8.15,15.0,282.0,No,0.0,Average,3.0,,25.23,40.38,26.72,10.26
110,,,,,,,,,,,,,,,,,,,,,
111,25.0,Female,Postgraduate,4.65,2.29,2.65,3.45,1.79,6.06,6.86,125.0,75.0,no,1.0,Good,9.0,1.0,31.47,46.54,47.51,30.46
112,18.0,Other,Postgraduate,3.07,4.39,0.24,0.93,2.04,6.5,7.49,63.0,17.0,Yes,0.0,Good,9.0,,46.48,47.04,32.48,16.1
113,18.0,Male,High School,4.17,3.62,3.24,3.49,0.21,6.11,3.86,50.0,310.0,yes,1.0,Average,3.0,,24.83,62.42,24.89,8.16
114,25.0,Male,High School,2.3,1.37,3.36,3.36,2.17,6.44,8.06,91.0,185.0,No,1.0,Good,9.0,1.0,28.47,44.19,32.27,12.3
115,18.0,Female,Postgraduate ,1.38,1.48,1.15,1.26,2.68,6.63,6.85,16.0,365.0,no,0.0,Average,10.0,,32.87,41.78,48.03,26.03
116,19.0,Male,Postgraduate,3.91,2.1,1.95,1.63,1.4,6.49,1.0,90.0 min,296.0,No,0.0,Poor,9.0,,36.48,22.7,52.5,32.44
117,18.0,Female,Undergraduate,3.21,0.0,1.93,1.07,0.86,6.95,6.86,5.0,370.0,Yes,1.0,Good,3.0,,29.44,62.38,18.15,11.23
118,16.0,Female,,4.82,3.41,2.76,1.11,,7.81,8.43,76.0,464.0,,1.0,Average,2.0,1.0,,58.51,24.52,
119,17.0,Female,Undergraduate,2.28,3.53,0.95,,0.99,4.0,5.36,32.0,136.0,Yes,1.0,Good,4.0,1.0,18.49,,16.49,1.0
120,20.0,Male,Postgraduate,6.21,,1.88,1.65,,7.75,9.52,137.0,244.0,No,1.0,Poor,4.0,,28.41,55.47,39.0,13.11
121,20.0,Male,Undergraduate,4.03,3.04,2.31,4.89,0.39,6.5,4.12,84.0,304.0,No,0.0,Average,8.0,,34.53,30.55,46.75,20.7
122,25.0,Male,Postgraduate,3.51,3.69,1.34,2.8,1.33,6.5,7.79,88.0,186.0,Yes,1.0,Good,2.0,,19.46,76.12,13.2,1.0
123,20.0,Other,Postgraduate,8.88,0.5,2.03,0.97,4.86,4.11,11.07,84.0 min,365.0,no,0.0,Poor,5.0,,40.8,57.82,59.58,28.22
124,16.0,Female,Undergraduate,6.6,0.84,1.0,4.39,0.85,8.29,8.24,101.0,308.0,Yes,0.0,Average,10.0,,30.23,49.44,61.83,30.73
125,24.0,Male,High School,2.92,4.24,3.4,3.06,0.91,4.0,8.22,15.0,317.0,Yes,0.0,Poor,2.0,1.0,20.56,65.34,6.31,1.0
126,18.0,Female,,,,,,,5.96,,,,,,Good,7.0,,,,,
127,19.0,Male,High School,4.06,2.71,1.06,1.45,1.9,6.99,6.64,22.0 min,233.0,No,1.0,Average,7.0,1.0,44.81,39.75,41.88,34.98
128,17.0,Female,Undergraduate,3.91,3.69,1.94,4.06,1.43,6.02,7.31,33.0,483.0,yes,1.0,Poor,2.0,1.0,22.55,65.94,12.98,7.26
129,17.0,Female,Postgraduate,5.51,1.59,0.3,3.39,4.63,7.95,7.7,26.0,481.0,Yes,1.0,Poor,1.0,,23.01,57.64,22.45,10.97
130,19.0,Male,,4.63,2.64,,,,,,,,,,Poor,,,,,66.21,
131,21.0,Female,Postgraduate ,3.61,2.51,1.33,3.79,2.91,9.73,10.39,114.0,294.0,no,1.0,Good,1.0,,19.81,26.35,24.2,12.83
132,21.0,Female,High School,3.08,0.54,1.55,5.97,3.08,8.49,5.32,50.0,468.0,no,1.0,Poor,5.0,,14.9,36.7,25.55,7.28
133,19.0,Other,,3.02,0.9,0.94,,1.31,5.75,8.73,19.0,398.0,No,1.0,Poor,10.0,1.0,,71.86,43.46,24.51
134,21.0,Other,Undergraduate,5.12,2.54,3.1,4.1,4.08,,11.22,132.0,,No,1.0,Average,6.0,1.0,33.83,44.58,42.93,28.91
135,24.0,Male,Undergraduate,4.76,3.4,1.44,0.36,0.0,8.15,7.41,74.0,269.0,No,1.0,Average,4.0,,42.01,45.72,43.36,24.93
136,24.0,Male,High School,6.71,2.47,3.28,0.92,1.48,5.13,9.1,61.0,372.0,Yes,1.0,Poor,6.0,,34.49,70.44,46.55,19.57
137,21.0,Male,High School,4.5,1.15,3.6,2.0,0.0,7.91,8.36,10.0,421.0,,1.0,Good,5.0,1.0,30.93,51.09,28.19,17.84
138,22.0,Male,Postgraduate ,0.0,1.22,2.26,7.11,2.18,8.33,8.44,118.0,327.0,No,0.0,Average,6.0,,7.26,20.37,3.39,1.0
139,25.0,Other,Postgraduate,3.37,2.18,2.15,2.17,2.45,6.44,4.58,114.0,288.0,yes,1.0,Good,1.0,,14.17,61.41,3.24,1.0
140,16.0,Male,Undergraduate,4.13,0.67,1.58,2.08,2.04,8.52,6.43,106.0,2.0,yes,1.0,Good,10.0,,38.47,43.81,52.53,31.54
141,24.0,Male,High School ,5.34,1.56,2.38,3.73,0.91,5.94,1.86,68.0,485.0,yes,0.0,Poor,4.0,,21.75,45.65,32.74,6.76
142,17.0,Female,Undergraduate,4.25,1.61,2.69,2.7,1.96,8.24,5.27,25.0,353.0,Yes,1.0,Poor,4.0,,24.71,46.19,31.47,10.76
143,22.0,Male,Undergraduate,4.07,1.2,3.89,2.98,0.9,,,,485.0,No,1.0,Average,,,10.01,44.01,,3.96
144,25.0,Female,High School ,2.19,1.66,2.29,3.69,2.28,6.92,8.2,19.0,128.0,Yes,1.0,Average,6.0,,22.61,59.12,28.57,3.14
145,22.0,Female,High School,5.73,4.07,2.07,4.28,0.62,9.41,7.86,100.0,409.0,Yes,1.0,Average,8.0,,40.72,44.77,52.36,22.18
146,25.0,Male,Postgraduate ,7.07,5.7,2.23,2.4,1.57,6.53,9.82,107.0,458.0,Yes,1.0,Average,5.0,,50.03,70.73,54.65,24.76
147,24.0,Male,Postgraduate,5.38,1.45,4.07,3.18,0.47,7.51,5.09,91.0,149.0,Yes,0.0,Good,5.0,,32.04,38.3,48.76,21.36
148,25.0,Female,Postgraduate,2.93,3.38,3.53,5.14,1.03,8.07,7.02,41.0,81.0,yes,1.0,Average,1.0,,8.79,49.03,9.19,1.0
149,23.0,Female,Undergraduate,6.65,2.67,1.72,2.09,0.85,7.82,5.67,105.0 min,388.0,No,0.0,Average,5.0,1.0,40.08,25.01,54.72,40.39
150,18.0,,,,,,,,,,,,,,,,,,37.45,,
151,22.0,Male,Undergraduate,5.54,1.28,1.41,4.1,0.77,6.84,7.62,55.0,119.0,Yes,0.0,Average,6.0,,34.55,42.76,48.18,19.03
152,16.0,Other,Postgraduate,2.96,0.1,2.45,3.7,1.25,5.85,4.74,81.0 min,372.0,No,1.0,Average,10.0,,26.69,57.58,43.42,20.72
153,21.0,Female,Undergraduate,4.35,4.41,0.69,,,6.97,4.92,84.0 min,150.0,yes,0.0,Good,1.0,,27.43,42.18,29.07,15.97
154,19.0,Male,High School,3.86,3.11,2.1,3.57,0.77,7.02,5.34,131.0,279.0,no,1.0,Poor,2.0,0.0,14.23,37.76,14.42,2.02
155,23.0,Female,Undergraduate,4.65,4.15,0.5,0.0,0.0,8.24,4.13,120.0,345.0,Yes,1.0,Good,5.0,,38.94,44.77,32.92,21.51
156,16.0,Male,High School,2.59,3.63,4.11,0.24,0.0,7.12,7.69,131.0,146.0,yes,1.0,Average,3.0,,31.77,53.94,22.38,7.83
157,16.0,Female,Undergraduate,3.48,2.12,0.61,2.06,0.0,5.81,8.38,105.0,456.0,no,0.0,Good,9.0,,39.08,48.12,41.49,25.87
158,17.0,Female,Postgraduate,6.37,1.29,2.79,5.43,1.17,6.93,5.77,27.0,110.0,no,0.0,Poor,1.0,,23.71,29.48,26.85,
159,16.0,Female,High School,3.6,3.22,1.52,5.17,0.03,5.22,9.07,10.0 min,168.0,No,1.0,Average,7.0,,27.65,64.94,34.26,8.34
160,23.0,Female,High School ,2.89,1.26,2.51,3.38,0.04,6.83,6.44,92.0,261.0,Yes,0.0,Good,1.0,,7.21,45.8,4.85,1.0
161,16.0,Male,Undergraduate,2.13,0.84,,2.73,0.04,5.82,12.0,57.0,219.0,No,,Good,1.0,,15.9,61.76,1.0,1.0
162,,,,,,,,,8.45,,,,No,,Poor,1.0,,,,,
163,24.0,Female,Undergraduate ,5.14,2.78,1.73,4.28,1.8,6.88,7.03,88.0 min,439.0,Yes,0.0,Good,7.0,,31.43,52.18,50.45,26.24
164,24.0,Male,High School,2.18,1.31,1.16,4.8,0.85,8.9,6.2,148.0,342.0,yes,0.0,Poor,1.0,1.0,10.99,23.07,4.53,1.0
165,18.0,Male,High School ,4.65,2.47,2.32,2.91,1.14,7.05,8.56,64.0,363.0,Yes,0.0,Poor,1.0,1.0,21.21,42.78,28.52,6.76
166,17.0,Female,Postgraduate,1.09,3.74,0.53,2.05,2.98,5.88,11.35,90.0,243.0,No,0.0,Good,8.0,,34.51,48.1,35.63,11.06
167,16.0,Female,Postgraduate,4.86,1.88,0.44,,1.39,6.09,3.33,94.0,219.0,No,1.0,Good,9.0,1.0,39.25,51.59,52.47,25.9
168,24.0,Female,Postgraduate,3.93,1.58,1.2,4.34,3.09,5.52,4.7,79.0,245.0,No,1.0,Average,7.0,,24.07,50.42,33.99,18.81
169,25.0,Male,Undergraduate,4.46,1.37,2.86,1.84,1.27,7.94,7.59,66.0,332.0,no,0.0,Average,5.0,,30.59,28.36,45.57,23.48
170,19.0,Male,High School,7.76,3.06,3.05,1.57,0.62,5.27,10.9,99.0,17.0,Yes,0.0,Good,4.0,,41.01,60.61,39.14,26.25
171,22.0,Male,Postgraduate ,4.32,2.55,1.32,2.49,0.0,6.32,5.23,76.0 min,349.0,No,1.0,Average,7.0,,31.22,46.26,46.27,16.54
172,17.0,Male,Postgraduate,4.42,3.37,0.07,2.92,0.8,7.71,5.98,77.0,452.0,yes,1.0,Good,5.0,,30.4,60.81,25.25,8.83
173,23.0,Female,High School,5.15,3.9,0.35,4.3,0.28,6.29,1.68,76.0 min,35.0,No,0.0,Poor,5.0,1.0,,23.19,51.21,39.78
174,19.0,Female,High School,3.87,1.29,2.34,,2.3,5.64,4.69,65.0,198.0,no,1.0,Good,3.0,,18.16,48.61,30.13,14.92
175,23.0,Female,High School,1.8,0.05,2.27,1.1,3.37,7.83,8.63,35.0,252.0,No,0.0,Good,9.0,1.0,32.13,34.96,38.32,23.51
176,16.0,Male,High School,5.78,1.32,4.4,0.99,0.0,4.72,7.41,85.0 min,224.0,no,1.0,Good,2.0,,35.19,54.54,29.2,7.4
177,,,,,2.21,,,,7.35,,,,,1.0,,,,,27.01,,
178,25.0,Male,Postgraduate ,9.14,4.2,0.92,3.47,2.28,6.99,7.79,6.0,97.0,yes,1.0,Average,1.0,,26.75,59.28,41.92,16.12
